State,x,y
ADANA,-5.0, -122.0
ADIYAMAN,147.0, -94.0
AFYONKARAHISAR,-319.0, -20.0
AĞRI,449.0, 68.0
AMASYA,5.0, 135.0
ANKARA,-191.0, 80.0
ANTALYA,-304.0, -150.0
ARTVIN,364.0, 181.0
AYDIN,-471.0, -78.0
BALIKESIR,-480.0, 72.0
BILECIK,-326.0, 94.0
BINGÖL,306.0, 12.0
BITLIS,396.0, -28.0
BOLU,-237.0, 128.0
BURDUR,-346.0, -112.0
BURSA,-400.0, 100.0
ÇANAKKALE,-535.0, 106.0
ÇANKIRI,-117.0, 133.0
ÇORUM,-51.0, 122.0
DENIZLI,-394.0, -84.0
DIYARBAKIR,272.0, -59.0
EDIRNE,-532.0, 203.0
ELAZIĞ,215.0, -26.0
ERZINCAN,217.0, 65.0
ERZURUM,339.0, 96.0
ESKIŞEHIR,-285.0, 53.0
GAZIANTEP,91.0, -144.0
GIRESUN,171.0, 137.0
GÜMÜŞHANE,215.0, 117.0
HAKKARI,510.0, -91.0
HATAY,31.0, -202.0
ISPARTA,-289.0, -75.0
MERSIN,-100.0, -175.0
ISTANBUL,-408.0, 182.0
IZMIR,-520.0, -28.0
KARS,442.0, 126.0
KASTAMONU,-120.0, 203.0
KAYSERI,12.0, -27.0
KIRKLARELI,-483.0, 236.0
KIRŞEHIR,-85.0, 25.0
KOCAELI,-346.0, 157.0
KONYA,-200.0, -66.0
KÜTAHYA,-376.0, 35.0
MALATYA,132.0, -35.0
MANISA,-461.0, -2.0
KAHRAMANMARAŞ,58.0, -75.0
MARDIN,309.0, -123.0
MUĞLA,-454.0, -136.0
MUŞ,372.0, 11.0
NEVŞEHIR,-47.0, -17.0
NIĞDE,-46.0, -82.0
ORDU,113.0, 146.0
RIZE,308.0, 159.0
SAKARYA,-306.0, 144.0
SAMSUN,21.0, 170.0
SIIRT,399.0, -65.0
SINOP,-34.0, 210.0
SIVAS,97.0, 50.0
TEKIRDAĞ,-490.0, 184.0
TOKAT,51.0, 111.0
TRABZON,239.0, 148.0
TUNCELI,224.0, 23.0
ŞANLIURFA,197.0, -134.0
UŞAK,-380.0, -20.0
VAN,497.0, -13.0
YOZGAT,-26.0, 57.0
ZONGULDAK,-234.0, 191.0
AKSARAY,-109.0, -44.0
BAYBURT,264.0, 109.0
KARAMAN,-153.0, -151.0
KIRIKKALE,-117.0, 68.0
BATMAN,345.0, -74.0
ŞIRNAK,409.0, -106.0
BARTIN,-177.0, 215.0
ARDAHAN,424.0, 181.0
IĞDIR,502.0, 95.0
YALOVA,-392.0, 140.0
KARABÜK,-180.0, 168.0
KILIS,84.0, -171.0
OSMANIYE,35.0, -133.0
DÜZCE,-255.0, 156.0
